"Subject_Course","CRN","Title","Instructional_Method","Schedule_Type","Accounting_Method","Units","BUILDING","ROOM","DAYS","Time","Ptrm","Start_Date","End_Date","Max_Enroll","Actual_Enroll","WAIT_CAPACITY","Wait_List","Status","Instructor","CAMPUS"
"AGMT 001",21178,"Agriculture Economics",02,02,W,3,TCCB,B120,MW,"8:45AM - 10:00AM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"AGMT 102",20001,"Ag Sales and Marketing",02,02,W,3,TCCB,B120,TR,"10:10AM - 11:25AM",1,1/12/2026,5/20/2026,40,0,10,0,A,Staff,TCC
"AGMT 102",21813,"Ag Sales and Marketing",DE,02,W,3,EXEHS,N/A,MTR,"10:15AM - 11:05AM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,EXE
"AGMT 108",21177,"AG Business Computer Apps",06,02,W,3,TCCB,B120,M,"10:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"AGMT 108",21177,"AG Business Computer Apps",06,02,W,3,TCCB,B120,W,"10:10AM - 11:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"AGMT 108",21177,"AG Business Computer Apps",06,04,W,3,TCCB,B120,W,"11:10AM - 12:00PM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"AGMT 108",21576,"AG Business Computer Apps",06,02,W,3,TCCB,B120,R,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"AGMT 108",21576,"AG Business Computer Apps",06,02,W,3,TCCB,B120,T,"8:10AM - 10:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"AGMT 108",21576,"AG Business Computer Apps",06,04,W,3,TCCB,B120,R,"9:10AM - 10:00AM",1,1/12/2026,5/20/2026,30,0,10,0,A,Staff,TCC
"AGTC 103",20307,"Farm Power",06,02,W,3,TCCE,104,M,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 103",20307,"Farm Power",06,02,W,3,TCCE,104,W,"1:10PM - 2:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 103",20307,"Farm Power",06,04,W,3,TCCE,104,W,"2:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 124",21516,"Power Equipment Air & Heat",06,06,W,2,TCCE,104,MW,"10:45AM - 12:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 125",21517,"Power Trains",06,02,W,3,TCCE,104,MW,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 125",21517,"Power Trains",06,04,W,3,TCCE,104,MW,"9:10AM - 10:25AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 126",21582,"Diesel Engine Emission Systems",06,02,W,2,TCCE,104,F,"1:10PM - 3:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 126",21582,"Diesel Engine Emission Systems",06,04,W,2,TCCE,104,F,"3:10PM - 4:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 127",21581,"Equipment Diagnostics",06,02,W,2,TCCE,104,F,"8:10AM - 9:00AM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 127",21581,"Equipment Diagnostics",06,04,W,2,TCCE,104,F,"9:10AM - 12:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
"AGTC 202",21060,"Farm Equipment Construction",DE,02,W,3,CORHS,N/A,MTF,"11:20AM - 12:10PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"AGTC 202",21060,"Farm Equipment Construction",DE,04,W,3,CORHS,N/A,R,"12:30PM - 1:20PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"AGTC 202",21483,"Farm Equipment Construction",DE,02,W,3,VTEC,N/A,TR,"1:40PM - 2:55PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,VIS
"AGTC 202",21483,"Farm Equipment Construction",DE,04,W,3,VTEC,N/A,F,"2:40PM - 3:30PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,VIS
"AGTC 202",21504,"Farm Equipment Construction",DE,02,W,3,CORHS,N/A,W,"1:55PM - 2:45PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"AGTC 202",21504,"Farm Equipment Construction",DE,02,W,3,CORHS,N/A,MTF,"2:30PM - 3:20PM",1,1/12/2026,5/20/2026,0,0,0,0,A,Staff,COR
"AGTC 210",20783,"Ag Project Construction",06,02,W,3,TCCE,104,W,"6:10PM - 9:00PM",1,1/12/2026,5/20/2026,24,0,10,0,A,Staff,TCC
